malloc(0x54), image: patricia
malloc(0x10), image: patricia
malloc(0x45), image: patricia
malloc(0x28), image: patricia
malloc(0x140), image: patricia
malloc(0x228), image: patricia
malloc(0x10), image: patricia
malloc(0x1000), image: patricia
malloc(0x10), image: patricia
malloc(0x10), image: patricia
malloc(0x10), image: patricia
malloc(0x400), image: patricia
